4-Aminobutansäure	 gamma-aminobutyric acid (GABA) 
Duo	 duet
Duodezillion	 A w:Long and short scales|long scale duodecillion, 10<sup>72</sup>.
Duplikat	 duplicate
Duplikation	 duplication
Duraluminium	 duralumin
Durchbruch	 breakthrough
Durcheinander	 mess, chaos
Durcheinander	 stew
Durchfall	 diarrhea
Durchführbarkeit	 feasibility
Durchführung	 performance (carrying into execution or action)
Durchhaltevermögen	 stamina
Durchlauferhitzer	 tankless heater
Durchlässigkeit	 permeability
Durchlässigkeit	 porosity
Durchmesser	 diameter
Durchmischung	 mixing throughout
Durchmischung	 diffusion
Durchreisevisum	 transit visa
Durchschlag	 punch
Durchschlag	 carbon copy
Durchschlag	 disruptive discharge
Durchschlag	 strainer
Durchschnittseinkommen	 average income
Durchschnittstemperatur	 average / mean temperature
Durchsicht	 perusal, review, examination
Durchsichtigkeit	 transparency
Durchströmbarkeit	 permeability
Durst	 thirst
Durstigkeit	 thirstiness
Dusche	 shower
Duschgel	 shower gel
Duschkopf	 shower head
Duschvorhang	shower curtain
Dusel	 fortune, luck
Dutzend	 dozen
Dynamik	 dynamics
Dynamit	 dynamite
Dynamo	 dynamo
Dynastie	 dynasty
Dysprosium	 dysprosium
Dystopie	 dystopia (a vision of a future that is a corrupted utopian society)
Dämmerung	 dusk
Dämmerung	 dawn
Dämmerung	 twilight
Dämmung	insulation
Dämon	 demon
Dämonologie	 demonology
Dämpfung	 attenuation
Dämpfung	 damping
Dämpfung	 decay
Däne	 Dane (person from Denmark, male)
Dänin	 Dane (person from Denmark, female)
Dänische Dogge	 A Great Dane.
Däumling	 thumbstall
Déjà-vu	 déjà vuEnglish|déjà vu
Déjà-vu-Erlebnis	 déjà vu
Dödel	 fool, idiot
Döner	 döner kebab
Dübel	 dowel
Düker	 culvert
Düne	 dune
Dünengazelle	 slender-horned gazelle,rhim gazelle, sand gazelle, Gazella leptoceros
Düngemittel	 fertilizer
Düngemittelindustrie	 fertilizer industry
Dünger	 fertilizer
Düngung	 fertilization
Dünnbrettbohrer	 (coll.) lightweight (person)
Dünnfilmtransistor	 thin-film transisor
Dünnhäutigkeit	 thin-skinnedness
Dünnpfiff	 diarrhea
Dünnschiss	 diarrhea ''(as a disease)''
Dünnschiss	 the fecal product of diarrhea
Dünung	 swell (series of waves)
Dürre	 drought
Düse	 nozzle
E-Book	 e-book
E-Mail	 e-mail (system; letter)
E/A	 input/output|Input/output; I/O
E605	 parathion
EG	 Abbreviation of Erdgeschoss
EG	 Abbreviation of Europäische Gemeinschaft, in terminology superseeded by Europäische Union, EU
EJRM	 former Yugoslav Republic of Macedonia
Ebbe	 ebb, low tide
Ebenbild	 counterpart (something that resembles something else)
Ebene	 plain
Ebene	 plane
Ebenholz	 ebony (wood)
Eber	 boar
Eberesche	 rowan (tree)
Eblaitisch	 Eblaite (the Eblaite language)
Ecgonin	 ecgonine
Echo	 reflected sound, echo
Echolalie	 echolalia
Echse	 lizard
Echse	 saurian
Ecke	 corner
Eckigkeit	 angularity
Eckwert	 guidance value
Eckzahn	 a canine (tooth)
Ecstasy	 ecstasy (drug MDMA)
Ecuadorianer	 Ecuadorian (man from Ecuador)
Ecuadorianerin	 Ecuadorian (woman from Ecuador)
Edel-Uni	 Ivy League
Edelgas	 noble gas
Edelmetall	 noble metal
Edelstahl	 stainless steel (corrosion-free alloy)
Edelstein	 gemstone
Edelweiß	 edelweiss
Edikt	 An edict, type of legislative and/or judicial proclamation, originally emanate|emanating from a Roman magistrate.
Edomitisch	 Edomite (the Edomite language)
Efeu	 ivy
Effekt	 effect
Effizienz	 efficiency
Egalitarismus	 egalitarianism
Egel	 leech
Egge	 harrow
Ego	 ego
Ego-Shooter	 first-person shooter
Egoismus	 egoism
Egoist	 egoist
Egozentrik	 egocentricity, egocentrism
Egozentriker	 egocentric
Egozentrismus	 egocentrism
Ehebruch	 adultery
Ehefrau	 married woman, wife
Ehegatte	 husband
Ehegatte	 spouse
Ehegattin	 married woman, wife; female form of Ehegatte
Ehemalige	 a (female) former (student, lover, office holder &mdash; context must clarify)
Ehemann	 married man, husband
Ehepaar	 married couple
Ehering	 wedding ring
Ehre	 honor (''US''), honour (''UK'')
Ehre	 credit
Ehre	 kudos
Ehrenmitgliedschaft	 honorary membership
Ehrenwort	 One's word of honor, linking a claim or promise to one's personal integrity
Ehrfurcht	 awe, reverence
Ehrgeiz	 ambition
Ehrlichkeit	 honesty
Ei	 egg
Eibe	 yew (tree or shrub)
Eibisch	 marshmallow (plant)
Eibohphobie	 aibohphobia, that is, the fear of palindromes
Eichel	 An acorn, the fruit of an oak tree
Eichhorn	 squirrel
Eichhörnchen	 squirrel (in the narrow sense, Sciurus vulgaris)
Eid	 oath
Eidechse	 lizard
Eidechse	 a member of Lacertidae, the family of the wall lizards, or true lizards
Eidechse	 Lacerta (astronomical constellation)
Eidechsenfisch	 lizardfish, any member of the Synodontidae family
Eidechsenfische	 lizardfish, the taxonomic family Synodontidae
Eiderente	 eider (duck of genus ''Somateria''), Somateria mollissima
Eierbecher	 egg cup, eggcup
Eierlaufen	 egg and spoon race
Eiersalat	 egg salad
Eierschale	 eggshell
Eierspeise	 egg-dish (specific type of prepared food featuring eggs)
Eierstock	 ovary (female organ)
Eieruhr	 egg timer
Eifer	 eagerness, alacrity
Eifersucht	 jealousy
Eigelb	 yolk
Eigenart	 peculiarity, characteristic
Eigenartigkeit	 peculiarity, characteristic
Eigenartigkeit	 strangeness, oddness
Eigenheim	 privately owned home
Eigenheit	 singularity (the state of being singular, distinct, peculiar, uncommon or unusual)
Eigenname	 proper noun
Eigenschaft	 feature, property, characteristic; quality
Eigenschaftswort	 adjective
Eigentor	 own goal
Eigentum	 property, owndom
Eigentümer	 owner, proprietor
Eigenurin	 urine from the same person that uses it for urine therapy.
Eigenvektor	 eigenvector
Eigenwärme	 body heat (heat generated by a person, animal, machine etc)
Eignung	 aptitude, qualification, suitability
Eiklar	 egg white
Eile	 hurry
Eileiter	 Fallopian tube
Eimer	 bucket
Einatmung	 inspiration (act of breathing in)
Einbahnstraße	 one-way street
Einbalsamierung	 embalming
Einbau	 installation, fitting, fixture, assembly
Einbauküche	 built-in kitchen
Einbeziehung	 inclusion, involvement
Einbildung	 conceit (overly high self-esteem)
Einbildung	 hallucination
Einblick	 insight
Einbrecher	 burglar, picklock, housebreaker
Einbringen	 insertion, introduction, placement
Einbringung	 insertion, introduction
Einbruch	 burglary, break-in
Einbruchdiebstahl	 burglary
Eindampfung	 evaporation
Eindringling	 intruder
Eindringling	 interloper
Eindringling	 trespasser
Eindruck	 impression
Einfachheit	 simplicity
Einfall	 idea
Einfall	 invasion, inroad
Einfallsreichtum	 ingenuity, inventiveness, resourcefulness
Einfalt	 simplicity, naivety
Einfaltspinsel	 simpleton
Einfang	 capture
Einfangrate	 capture ratio
Einfarbameisenwürger	 uniform antshrike
Einfarbralle	 uniform crake
Einfluss	 influence
Einfühlungsvermögen	 empathy
Einführung	 introduction
Eingabe	 input
Eingang	 entrance, entry
Eingang	 arrival
Eingang	 input
Eingang	 entrance gate, doorway, hall, passage
Eingang	 orifice
Eingang	 inlet, mouth ''(of river)''
Eingang	 introduction
Eingang	 importation
Eingang	 access
Eingang	 beginning, preface, preamble, prologue
Eingang	 receipt
Eingebung	 inspirationEnglish|inspiration, impulse, intuition
Eingehen	 shrinkage
Eingeweide	 guts, internal organs
Eingeweihte	 insider, initiate
Eingriff	 intervention
Einhalt	 stop <!-- (interruption of travel)--> <!-- never heard -->
Einheit	 unit
Einheit	 unity
Einhorn	 unicorn
Einigkeit	 unity
Einigkeit	 consensus, agreement
Einkauf	 purchase (the act or process of seeking and obtaining something)
Einkaufsliste	 shopping list, list of things to buy
Einkaufswagen	 shopping cart
Einkaufszentrum	 shopping center, shopping mall
Einkerbung	 notch, indent, score
Einkommen	 income
Einkommenssteuer	 income tax
Einkommensteuer	 income tax
Einkristall	 monocrystal, single crystal
Einladung	 invitation
Einlagerung	 storage
Einleiten	 initiation, commencement, triggering
Einleitung	 introduction
Einleitung	 preamble
Einmaleins	 101
Einmaleins	 time table
Einmischung	 interference, intervention
Einnahme	 receipt, revenue
Einrad	 unicycle
Einrichtung	 facility, institution
Einrichtung	 constitution, installation, establishment
Einrichtung	 furnishing, furniture
Eins	 one (digit or figure)
Einsamkeit	 loneliness 
Einsamkeit	 solitude, lonesomeness
Einsatz	 use
Einsatz	 effort
Einsatz	 risk
Einsatz	 input
Einsatzgebiet	 application, field
Einsatzmöglichkeit	 (field of) application
Einschlag	 impact (the force or energy of a collision of two objects)
Einschluss	 inclusion
Einschluss	 involvement
Einschnitt	 incision
Einschnitt	 cut, financial cut, cutback
Einschreiben	 registered mail
Einschreibung	 enrollment (Am.) / enrolment (Br.)
Einschreibung	 matriculation
Einschränkung	 constraint, restraint
Einschulungsuntersuchung	 examination of children entering elementary school
Einschätzung	 assessment, estimation
Einschüchterung	 intimidation
Einsicht	 insight (power of acute observation and deduction)
Einsiedler	 hermit
Einsiedlerin	 female form of Einsiedler
Einsparung	 saving, economy
Einsparung	 retrenchment
Einsparung	 economizing
Einspänner	 one-horse carriage
Einsteiger	 beginner, rookie, newbie
Einsteinium	 einsteinium
Einsteinkonstante	 Einstein's constant
Einstellung	 attitude
Einstellung	 hiring, beginning of an employment
Einstellung	 cessation, discontinuation
Einstieg	 entrance
Einstieg	 start
Einstiegsdroge	 gateway drug
Einstrahlung	 irradiation
Einstrahlung	 insolation
Einstrom	 influx
Einstufung	 classification, ranking, grading
Eintagsfliege	 mayfly
Einteilung	 classification, arrangement
Einteilung	 division
Eintopf	 stew
Eintrag	 entry (in dictionary, record in log)
Einvernehmen	 consent, agreement
Einverständnis	agreement, consent
Einwand	 objection (statement expressing opposition)
Einwanderer	 immigrant
Einwilligung	 consent
Einwirkung	 influence (on), exposure (to)
Einwirkung	 effect, impact
Einwohner	 inhabitant
Einwohnerzahl	 population, number of inhabitants
Einzelfall	 individual case; isolated case
Einzelfallbetrachtung	 consideration of cases on an individual basis
Einzelgänger	 loner
Einzelhandel	 retail (sale of goods directly to the consumer)
Einzelheit	 detail
Einzelkind	 only child
Einzeller	 unicell, unicellular
Einzelnachweis	 itemization, specification
Einzelzimmer	 single room
Einzugsparty	 housewarming party
Eis	 ice
Eis	 ice cream
Eisberg	 iceberg
Eisbrecher	 icebreaker (ship designed to break through ice)
Eisbär	 polar bear (''Ursus maritimus'')
Eiscreme	 ice cream
Eisen	 iron (chemical element, Fe)
Eisenbahn	 railroad
Eisenblech	 sheet metal (iron)
Eisenerz	 iron ore
Eisenerzgrube	 iron ore mine
Eisengießer	 iron founder (person who works in an iron foundry
Eisengießerie	 iron foundry
Eisenion	 iron ion
Eisenkraut	 ''Verbena'' (a genus of herbaceous plants)
Eisenmeteorit	 iron meteorite
Eisenspäne	 iron filings
Eisenstein	 ironstone
Eisenverhüttung	 ironmaking (iron smelting)
Eisenwaren	 hardware (fixtures, equipment, tools and devices used for general purpose construction and repair of a structure or object)
Eisenzeit	 Iron Age
Eiserne Vorhang	 Iron Curtain
Eisheilige	 Eismänner
Eisheilige	 gestrenge Herren
Eishockey	 ice hockey
Eiskaffee	 iced coffee
Eiskunstlauf	 figure skating
Eiskunstläufer	 figure skater
Eismeergarnele	 pink shrimp, deepwater prawn, deep-sea prawn, great northern prawn, crevette nordique, northern shrimp, Pandalus borealis
Eisregen	 freezing rain
Eisschicht	 icecap, ice sheet
Eisschnelllauf	 speed skating
Eisschnellläufer	 speed skater
Eistaucher	 great northern diver (large member of the diver family, Gavia immer)
Eistee	 iced tea, ice tea
Eisvogel	 kingfisher (any of various birds of the suborder Alcedines)
Eiswein	 ice wine (a sweet wine made from grapes that are harvested after the first frost)
Eiswürfel	 ice cube (small piece of ice used for cooling drinks)
Eiszapfen	 icicle
Eiszeit	 ice age
Eitelkeit	 vanity
Eiweiß	 albumin / albumen, egg white
Eiweiß	 protein
Eiweißstoff	 protein
Eiweißstoff	 albumin / albumen
Eizelle	 ovum
Ejakulat	 ejaculate (the liquid ejected during ejaculation)
Ekel	 disgust
Eklat	 scandal, stir
Ekliptik	 ecliptic
Ekstase	 ecstasy
Ektoplasma	 ectoplasm
Ekzem	 eczema (acute or chronic inflammation of the skin)
Elan	 elan, verve
Elastizität	 elasticity
Elastizitätsmodul	 modulus of elasticity
Elastomer	 elastomer
Elb	 elf
Elbenvolk	 the race of elf|elves
Elbmetropole	 metropolis on the Elbe
Elbstadt	 city on the Elbe
Elch	 moose, elk (largest member of the deer family)
Elchtest	 elk test, moose test
Elefant	 elephant
Elefantenrüsselmuschel	 geoduck, a species of clam (Panopea abrupta or Panope generosa)
Eleganz	 elegance
Elegie	 elegy (mournful or plaintive poem or song)
Elektriker	 electrician (a person who installs, repairs and maintains electrical wiring and equipment)
Elektrikerin	 female electrician (a person who installs, repairs and maintains electrical wiring and equipment)
Elektrischer Wels	 electric catfish
Elektrizität	 electricity
Elektrode	 electrode
Elektroenergie	 electric energy
Elektroenzephalografie	 electroencephalography
Elektrofahrzeug	 electric vehicle
Elektrogitarre	 electric guitar (a guitar which requires electronic amplification to produce sufficient sound)
Elektrogrill	 electric grill
Elektroindustrie	 electrical industry
Elektroinstallation	 electrical installation
Elektrolyt	 electrolyte
Elektrolytkondensator	 electrolytic capacitor
Elektromagnet	 electromagnet
Elektromobilität	 electromobility
Elektromotor	 electric motor
Elektron	 electron
Elektronegativität	 electronegativity
Elektronenmikroskop	 electron microscope (any of several forms of microscope that use a beam of electrons rather than one of light)
Elektronenvolt	 electron volt (eV)
Elektronik	 electronics
Elektronikindustrie	 electronics industry
Elektronikschrott	 e-waste
Elektroofen	 electric fire
Elektroofen	 electric oven, furnace or kiln
Elektrophil	 electrophile
Elektroschweißen	 electronic welding
Element	 element
Elementaranalyse	 elementary analysis
Elementarteilchen	 elementary particle (fundamental particle)
Elementarzelle	 unit cell
Elementhalbleiter	 single-element semiconductor
Elementhäufigkeit	 frequency (relative abundance) of the elements
Elen	 moose, elk
Elend	 misery
Elf	 football team (so called because eleven is the number of players on such a team)
Elfe	 elf (female)
Elfe	 fairy
Elfe	 pixie
Elfenbein	 ivory
Elfer	 someone or something with the number eleven (a bus line, a football player etc.)
Elfer	 penalty kick (in association football, taken from 11 metres from the goal)
Elfmeterschießen	 penalty shoot-out
Elimination	 elimination
Elitarismus	 elitism
Elite	 elite
Eliteeinheit	 elite unit (eg of a military)
Elitist	 elitist
Elixier	 elixir (alchemy: liquid which was believed to turn non-precious metals to gold)
Ellbogen	 elbow
Elle	 ell
Ellipse	 ellipsis
Ellipsoid	 ellipsoid (surface all of whose cross sections are elliptic or circular)
Eloquenz	 eloquence
Elster	 magpie
Elsässer	 Alsatian (man from Alsace)
Elsässerin	 Alsatian (woman from Alsace)
Elternteil	 parent
Emaille	 enamel, vitreous enamel, porcelain enamel
Emaillefarbe	 enamel paint
Emergenz	 emergence (the arising of emergent structure in complex systems)
Emigrant	 emigrant
Eminenz	 eminence
Eminenz	 (His) Eminence
Emir	 emir (title of a prince, commander or other leader or ruler in an Islamic nation)
Emirat	 emirate (country or province ruled by an emir)
Emission	 emission
Emission	 issue, launch
Emissär	 emissary
Emmer	 emmer (a particular species of wheat)
Emmetropie	 emmetropia
Emotion	 emotion
Empathie	 empathy
Empfehlung	 recommendation
Empfindlichkeit	 sensitivity, sensibility
Empfindung	 sensation
Empfindung	 feeling, emotion
Empfänger	 receiver
Empfänger	 addressee
Empfänger	 receptor
Empfängnisverhütung	 contraception (use of a device or procedure)
Empörung	 indignation
Emu	 emu
Ende	 end, finish
Ende	 conclusion
Endergebnis	 end result, final outcome
Endlager	 a final storage facility for radioactive waste, deep geological repository
Endogamie	 endogamy (the practice of marrying within one's own social group)
Endokrinologe	 endocrinologist
Endokrinologie	 endocrinology
Endokrinologin	 endocrinologist
Endometrium	 endometrium
Endoskop	 endoscope
Endoskopie	 endoscopy
Endplatte	 endplate
Endprodukt	 end product
Endspurt	 final sprint
Endstation	 end of the line, terminus
Endung	 ending
Endung	 suffix
Endzeit	 end times
Endzustand	 final state or condition
Energie	 energy
Energieaufnahme	 energy intake or absorption
Energieaufwand	 energy expenditure / input
