A positivo	 A positive (blood type)
cismar	 To brood (think much about)
cismar	 To be apprehensive
cisne	 swan
cisão	 split, schism, division
citar	 to summon
citar	 to cite, quote (to refer to a statement that has been made by someone else)
citação	 citation
civilizador	 civilizing
civilizar	 To civilize
civilizar	 To polish
civilização	 civilization
cizânia	 weed
cizânia	 disharmony
ciência	 science (collective discipline of learning acquired through the scientific method)
ciência	 science (particular discipline or branch of learning)
ciência	 science (fact of knowing something)
ciência da informação	 information science
ciência da informação	 informatics
ciência da computação	 computer science
ciúme	 jealousy
clarabóia	 skylight
claramente	 In context of being known by simple observation; obviously; evidently; clearly.
clarete	 (''of wine'') clear
clarete	 claret (wine)
clareza	 clarity
clareza	 transparency
claridade	 clarity
claridade	 whiteness, lightness
claridade	 splendour
clarificação	 clarification
clarão	 flash
clarão	 clarity
classe	 class, kind (group, collection, category or set sharing characteristics or attributes)
classe	 class; elegance
classe	 class; lesson
classe	 classroom
classe gramatical	 part of speech (the function a word or phrase performs)
classificar	 To classify, sort, rank, grade
classificação	 classification
claustro	 cloister
claustrofobia	 claustrophobia.
clava	 club (weapon).
clave	 juggling club
clavícula	 collarbone, clavicle
cleptomania	 kleptomania (proclivity to steal)
cliente	 customer, client (one who purchases or receives a product or service)
clima	 climate
climatológico	 climatological
clivagem	 cleavage (of crystals)
clorado	 chlorinated
clorar	 To chlorinate
cloração	 chlorination
cloro	 chlorine
clorofila	 chlorophyll
cloroplasto	 chloroplast (photosynthetic organelle)
clube	 club (association of members)
clássico	 classic, classical
clástico	 clastic
clã	 clan (group having common ancestor)
clérigo	 cleric, clergyman
clímax	 climax
clínica	 clinic (medical facility)
co-secante	 cosecant.
coadjuvar	 To assist
coadjuvar	 To cooperate with
coador	 strainer, colander
coador	 filter (for coffee)
coagir	 To coerce
coagular	 To coagulate
coagular	 To clot
coagulação	 coagulation
coagulação	 clotting
coala	 koala
coalescência	 coalescence
coalhar	 to coagulate
coar	 to strain, to filter
coar	 to distill
coativo	 coercive
coação	 coercion
coação	 straining, leaching, percolation
cobaia	 guinea pig (rodent)
cobaia	 guinea pig (volunteer for an experiment)
cobalto	 cobalt (element)
cobarde	 cowardly
cobarde	 coward
cobertor	 blanket, coverlet
cobiçar	 To covet
cobiçar	 To wish for
cobiçar	 To aspire to
cobra	 snake
cobrador	 collecting, conducting, receiving
cobrador	 collector
cobrador	 conductor
cobrador	 receiver
cobrança	 collection (process)
cobrar	 to demand payment
cobre	 copper.
cobre	 ''third-person singular indicative present of cobrir''.
cobre	 ''first-, third-person singular subjunctive present of cobrar''.
cobrir	 cover (to conceal or protect)
cocaína	 cocaine
coceira	 itch, itching
coche	 coach (wheeled vehicle drawn by horse power).
cocheiro	 coachman
cochilar	 To nap, doze, nod off
cociente	 quotient
coco	 coconut (fruit of coco palm)
codeína	 codeine
codificador	 coder
codificador	 codifier
codificar	 To codify
codificar	 To encode
codorniz	 quail (Any of various small game birds of the family Phasianidae or of the family Odontophoridae)
coelhinho da Páscoa	 Easter Bunny
coelho	 rabbit
coentro	 :wikipedia:Coriander|Coriandrum sativum, cilantro (:wikipedia:American English|US), coriander (:wikipedia:British English|UK)
coercivo	 coercive
coercivo	 repressive
coercivo	 punishing
coerência	 coherence
coerência	 consistency
coesão	 cohesion
coesão	 coherence
coexistir	 To coexist
cofator	 cofactor
cofiar	 To stroke, smooth (hair, beard etc)
cofo	 creel
cogitação	 cogitation, thought, reflection
cogumelo	 mushroom
coifa	 coif (armour)
coifa	 hood
coifa	 hood (metal covering)
coincidir	 to coincide
coincidência	 coincidence
coiote	 coyote (canine)
coitado	 pitiful, wretched
cola	 tail
colaborador	 collaborator
colaborar	 To collaborate
colaboração	 collaboration
colagem	 pasting, gluing
colagénio	 collagen
colapso	 collapse (act of collapsing)
colapso	 faint (act of losing consciousness)
colar	 necklace, chain
colar	 to affix, to attach, to tie together
colar	 to settle a bill
colateral	 collateral
colchete	 square bracket
colchão	 mattress
coldre	 holster (leather case into which a gun fits snugly)
colear	 To wiggle
colega	 colleague (fellow member of a profession)
colega	 buddy, friend
colegial	 collegiate
colegial	 university (attributive)
colesterol	 cholesterol
coletar	 To collect, gather
colete	 waistcoat
coletivamente	 collectively
coletivo	 collective
coleção	 collection
coleção	 range
coleção	 compilation
colheita	 harvest
colher	 to harvest, get, reap, gather
colher de sobremesa	 A spoon used for eating cereal etc. Equivalent to an Australian dessertspoon or an American tablespoon.
colher de sopa	 a spoon the size and shape of an Australian tablespoon, bigger than an American tablespoon but the same shape, unlike a soupspoon but still used for soup
colher de café	 teaspoon (literally a coffeespoon but equivalent to a teaspoon)
colibri	 hummingbird.
colidir	 To collide, clash
colidir	 To impinge
colina	 hill (elevated location)
colisão	 collision
colmeia	 beehive
colméia	 beehive
colocar	 to place
colocar	 to put
colocar	 to hire
colocar lenha na fogueira	 to add fuel to fire
colocação	 placement
colocação	 setting
colocação	 installation
colocação	 collocation
colocolo	 monito del monte (Dromiciops gliroides)
colombiano	 Colombian
colombiano	 Colombian
colonista	 colonialist (specialist in colonial affairs)
colonizar	 To colonize
colonização	 colonization
colono	 colonist (a founder or member of a colony)
coloquial	 of colloquium|colloquia
coloração	 colouring, colouration
colorido	 coloured, colourful
colorido	 dyed, tinted, stained
colorido	 colour, colouring, hue
colorir	 to color
columbofilia	 pigeon fancying
coluna	 column; pillar
coluna	 spine; backbone
coluna	 a text column (body of text meant to be read line by line)
coluna	 a periodical's column (a recurring feature in a periodical, especially an opinion piece)
coluna vertebral	 vertebral column, backbone
colégio	 college, school
colégio	 campus
colérico	 choleric (all senses)
colérico	 indignant
colónia	 colony, settlement
colónia	 community
colónia	 plantation
colônia	 colony (region or governmental unit)
colônia	 a settlement of immigrants
colúmbio	 columbium
com	 with; against
coma	 coma, state of unconsciousness
coma	 abundant hair of the head
coma	 mane
comandar	 To command, lead, head
combalir	 To become debilitated
combatente	 combatant, fighting
combatente	 combatant, fighter
combater	 To fight
combinar	 to combine
combinar	 to set up, to arrange (a meeting)
combinação	 combination
comboio	 train (line of connected cars or carriages)
comboio	 convoy (group of vehicles)
combustão	 combustion
combustível	 fuel
combustível	 combustible
comediógrafo	 comedy writer
comemorar	 To celebrate, commemorate
comemoração	 commemoration
comendador	 commander (capitalised, it is an honorary title)
comentário	 comment, observation, remark
comentário	 commentary
comentário	 note, annotation
comercial	 commercial (advertisement in a common media format)
comercial	 commercial
comercializar	 To commercialize
comercializar	 To market
comercialização	 commercialization
comestível	 That can be eaten without harm; edible.
cometer	 To commit, practice, undertake
comezinho	 good to eat
comezinho	 simple, homely
começo	 beginning, commencement
comichão	 itch (a sensation felt on an area of the skin that causes a person or animal to want to scratch)
comida	 food, something edible
comida	 meal
cominar	 To comminate
comissário	 commissioner
comissário	 commissar
comissão	 commission
comissão	 committee
comitente	 commissioning
comitente	 constituent
como	 as; because; since (usually used in the beginning of sentences)
como de costume	 as usual
como se	 as though (as to suggest that)
comodidade	 convenience
comodidade	 comfort, ease
comodidade	 amenity
comodidade	 welfare
comovente	 moving, poignant, touching
comovido	 affected, impressed
comovido	 softened
comovido	 sensitized
comoção	 commotion
comoção	 concussion
comoção	 riot, insurrection
compadecidamente	 compassionately
compadecido	 compassionate
compaixão	 compassion
compaixão	 pity
compaixão	 sympathy
compaixão	 empathy
companheira	 companion (female)
companheira	 consort, wife, concubine
companheiro	 companion, comrade
companhia	 company (in legal context, a corporation)
companhia	 company (group of individuals)
comparar	 To compare
comparar	 To liken
comparativo	 comparative
comparação	 comparison (the act of comparing or the state of being compared)
comparecer	 To attend, appear, turn up
comparecimento	 attendance
comparecimento	 appearance
compartilhar	 to share (to give)
compartimento	 compartment
comparável	 similar, comparable (which may be compared (to))
compassivo	 compassionate, tender-hearted
compatibilidade	 compatibility
compatibilidade	 consistency
compatível	 compatible
compelir	 To compel
compelir	 To force, coerce
compensar	 to pay, to pay off, to be worthwhile or profitable
compensar	 to compensate
compensatório	 compensatory
compensação	 compensation
competidor	 competitor (person against whom one is competing)
competir	 to compete (to contend)
competição	 competition (all senses)
competência	 competence, competency
competência	 ability, proficiency
compilado	 Put together; compiled.
complacente	 complacent
complacente	 compliant
complementar	 complementary
complementar	 To complement
complementaridade	 complementarity
completamente	 completely; fully
completamente	 altogether
completar	 To complete
completar	 To supplement
completo	 full, complete
completo	 completed
completude	 completeness
complexidade	 complexity
complicação	 complication
complicação	 intricacy
componente	 component (smaller, self-contained part of larger entity)
comportamento	 behaviour (the way matter moves or acts)
comportar	 To bear, support
comportar	 To admit
composição	 composition (all senses)
composto	 compound, composed, composite
composto	 compound, composite
compostura	 composition (general makeup of something)
compota	 jam (sweet mixture of fruit boiled with sugar)
compota	 compote
compra	 purchase (that which is obtained for a price in money or its equivalent)
comprado	 That has been obtained in exchange for money; bought.
comprador	 buyer (person who makes purchases)
comprador	 customer
comprar	 to buy
compreendido	 covered, contained, included
compreendido	 understood
compreensão	 comprehension
compreensão	 sympathy for a troublesome situation
compreensível	 understandable
compressão	 compression
comprido	 long (having great distance)
comprimento	 length (measurement of distance)
comprimido	 pill (a small portion of a drug or drugs to be taken orally)
comprimido	 compressed
comprometer	 To commit, engage
comprometimento	 commitment
comprometimento	 commital
compromisso	 compromise (settlement of differences by arbitration or by consent reached by mutual concessions)
compromisso	 obligation
compromisso	 a scheduled meeting
comproprietário	 co-owner / coowner
comprovar	 To prove, confirm
comprovar	 To demonstrate (that something is true)
comprovação	 proof, substantiation
comprovação	 evidence
comprovação	 verification
comprável	 buyable
compulsar	 To consult (documents etc)
compulsar	 To compel
compulsão	 compulsion
compulsório	 compulsory, mandatory, obligatory
compungido	 compunctious
compungido	 remorseful
compunção	 compunction
compunção	 remorse
computador	 That performs computations; computing.
computador	 computer
computador de mesa	 desktop computer
computador pessoal	 personal computer
computadorizado	 computerized
computar	 compute (reckon or calculate)
compêndio	 compendium
compêndio	 textbook, manual
compêndio	 summary
compósito	 composite (material)
comum	 common (usual)
comum	 common (mutual)
comumente	 commonly
comunhão	 communion (all senses)
comunhão	 community
comunicação	 notice, warning, notification
comunista	 communist (of or relating to communism)
comunista	 Communist. communist
comutar	 To commute, exchange, replace
comédia	 comedy
comércio	 a company which engages in commerce
concatenar	 To concatenate
concatenação	 concatenation
concavidade	 concavity
conceber	 To conceive (all senses)
conceber	 To think (of), imagine
conceber	 To explain
conceber	 To interpret
concebido	 designed, planned, conceived
conceder	 To grant, concede, allow
concedido	 granted, conceded
conceito	 concept
concelho	 county, municipality
concentrador	 concentrator
concentrar	 To concentrate
concentrar	 To centralize
concentrar	 To focus or localize
concentração	 concentration (all senses)
concertar	 to agree
concertar	 to arrange
concerto	 concert (a musical entertainment in which several voices or instruments take part)
concessionária	 agent, concessionaire
concessão	 grant, concession
concessão	 award
concessão	 franchise
concha	 seashell
concha	 the shell of any mollusk
conciliável	 reconcilable
conciso	 concise (brief and precise)
concluir	 To complete, conclude, terminate
conclusão	 conclusion
concordar	 to agree
concorde	 concordant (agreeing, correspondent, harmonious)
concorrente	 competitor (person against whom one is competing)
concorrente	 competing
concorrente	 concurrent
concorrer	 To compete
concorrer	 To tender, apply
concorrer	 To concur
concorrência	 competition, rivalry
concorrência	 concurrence
concreto	 concrete
concreto	 concrete
concupiscência	 concupiscence, lust, longing, desire
concêntrico	 concentric
concílio	 council (especially a religious one)
concórdia	 concord (a state of agreement; harmony; union)
condado	 county (land ruled by a count or countess)
conde	 count (the male ruler of a county)
condenado	 convict (person convicted of a crime)
condenado	 condemned
condenar	 To condemn, doom
condenar	 To damn, denounce
condenação	 condemnation
condensado	 condensed
condensador	 condenser
condensador	 capacitor
condensar	 To condense
condensar	 To pile up
condensação	 condensation (all senses)
condessa	 countess
condevedor	 codebtor
condimento	 condiment (something used to enhance flavor)
condiscípulo	 schoolmate, schoolfellow
condição	 condition
condomínio	 condominium (apartment building)
condomínio	 A fee that each owner pays for common services
condrito	 chondrite
condrítico	 chondritic
conduta	 conduct, behaviour, demeanour, deportment
condutibilidade	 conductibility
condutor	 conductor (a person who takes tickets on public transportation)
condutor	 someone of something which conducts
condutora	 conductor (female)
conduzido	 conducted, transported
conduzir	 to wage (to conduct or carry out)
conduzir	 to conduct
