100 mètres	 100 metres
chimique	 chemical (related to chemistry)
chimiquement	 chemically
chimiquier	 chemical tanker
chimiste organique	 organic chemist (chemist whose field is organic chemistry)
chimiste inorganique	 inorganic chemist (chemist whose field is inorganic chemistry)
chimpanzé	 chimpanzee (ape)
chimérique	 chimeric, fanciful, imaginary
chimérique	 unrealistic, quixotic
chinchard	 jack mackerel
chiner	 to dye and interweave fabrics
chinoiser	 to argue; to quibble; to squabble
chiot	 puppy (baby dog, of either sex)
chiotte	 shithouse (outhouse)
chiotte	 chamber pot
chipotage	 nitpicking
chipoter	 To nibble
chipoter	 To quibble or haggle
chiquement	 chicly, fashionably
chiquenaude	 flick, flip
chiquer	 To chew tobacco
chiralité	 chirality (a property of asymmetry important in several branches of science)
chirographie	 chirography
chirologie	 chirology
chiromancie	 chiromancy
chiromancien	 palmist, chiromancer
chironome	 chironomid
chiropracteur	 chiropractor
chiropractie	 chiropractic
chiropraticien	 chiropractor
chiroptère	 bat (animal of the ''Chiroptera'' order)
chirurgical	 surgical
chirurgie de réattribution sexuelle	 sex reassignment surgery
chirurgie de réassignation sexuelle	 sex reassignment surgery
chirurgien	 a surgeon, a doctor who performs surgery
chitine	 chitin (polymer of N-acetylglucosamine, found in arthropod and fungi)
chitineux	 chitinous
chiure	 frass (fly specks)
chlamyde	 chlamys
chleuh	 Tashelhiyt
chloration	 chlorination (all senses)
chlore	 chlorine
chlorer	 to chlorinate
chloroforme	 chloroform ((chemistry) an anesthetic)
chloroformer	 to chloroform (to treat with chloroform, or to render unconscious with chloroform)
chlorophylle	 chlorophyll
chlorophyllien	 chlorophyllic
chlorophytum	 spider plant (of genus ''Chlorophytum'')
chlorose	 chlorosis (yellow-green colouration of the skin)
chlorotique	 chlorotic (afflicted with chlorosis)
chloruré	 chlorinated
choc	 hit, strike
choc	 shock (surprise, startling)
choc	 clash
chochotte	 sissy, wuss, pansy
chochotte	 pansy (effeminate homosexual)
chocolat	 chocolate; chocolate-coloured
chocolat	 chocolate
chocolat	 hot chocolate
chocolat blanc	 white chocolate
chocolat au lait	 milk chocolate
chocolat au lait	 chocolate milk
chocolat noir	 dark chocolate
chocolat chaud	 hot chocolate
chocolaterie	 chocolate shop
chocolaterie	 chocolate factory
chocolatière	 (female) chocolatier
chocolaté	 chocolate (attributive)
choisir	 to choose
choisira	 ''third person singular future indicative form of choisir.
choisirai	 ''first person singular future indicative form of choisir.
choisiraient	 ''third person plural conditional form of choisir.
choisirais	 ''first person singular conditional form of choisir.
choisirais	 ''second person singular conditional form of choisir.
choisirait	 ''third person singular conditional form of choisir.
choisiras	 ''second person singular future indicative form of choisir.
choisirent	 ''third person pural past historic indicative form of choisir.
choisirez	 ''second person plural future indicative form of choisir.
choisiriez	 ''second person plural conditional form of choisir.
choisirions	 ''first person plural conditional form of choisir.
choisirons	 ''first person plural future indicative form of choisir.
choisiront	 ''third person plural future indicative form of choisir.
choisissaient	 ''third person plural imperfect indicative form of choisir.
choisissais	 ''first person singular imperfect indicative form of choisir''
choisissais	 ''second person singular imperfect indicative form of choisir''
choisissait	 ''third person singular imperfect indicative form of choisir''
choisissant	 ''present participle of choisir''
choisisse	 ''first person singular imperfect subjunctive form of choisir.
choisisse	 ''first person singular present subjunctive form of choisir.
choisisse	 ''third person singular present subjunctive form of choisir.
choisissent	 ''third person plural imperfect subjunctive form of choisir''
choisissent	 ''third person plural imperfect subjunctive form of choisir''
choisissent	 ''third person plural present indicative form of choisir''
choisisses	 ''second person singular imperfect subjunctive form of choisir''
choisisses	 ''second person singular present subjunctive form of choisir''
choisissez	 ''second person plural present indicative form of choisir''
choisissez	 ''second person plural imperative form of choisir''
choisissiez	 ''second person plural imperfect indicative form of choisir''
choisissiez	 ''second person plural imperfect subjunctive form of choisir''
choisissiez	 ''second person plural present subjunctive form of choisir''
choisissions	 ''first person plural imperfect indicative form of choisir''
choisissions	 ''first person plural imperfect subjunctive form of choisir''
choisissions	 ''first person plural present subjunctive form of choisir''
choisissons	 ''first person plural present indicative form of choisir''
choisissons	 ''first person plural imperative form of choisir''
choisîmes	 ''first person pural past historic indicative form of choisir.
choisît	 ''third person singular imperfect subjunctive form of choisir.
choisîtes	 ''second person pural past historic indicative form of choisir.
choix	 choice
cholestérique	 cholesteric
cholestérol	 cholesterol (an essential component of mammalian cell membranes)
choléra	 cholera (infectious disease)
chope	 tankard, mug
chopine	 an amount of wine equivalent to an imperial pint
choquer	 To hit, to collide
choquer	 To shock (surprise, startle)
choqué	 shocked, startled
choral	 chorale
chorale	 chorus (group of people in a play or performance who recite together)
chorioptique	 chorioptic
choriste	 chorister
choriste	 member of the chorus (operatic)
chorographie	 chorography
chorégraphe	 choreographer
chorégraphie	 choreography
chorégraphier	 To choreograph
chorégraphique	 choreographic
chose	 thing
chose jugée	 res judicata (something decided on by a court of law)
chou	 cabbage
chou	 baby, darling, sweetheart (''term of endearment'')
chou	 cute
chou de Bruxelles	 Brussels sprout
chou frisé	 curly kale
chou-fleur	 cauliflower
chou-rave	 kohlrabi (cabbage cultivar)
choucas	 jackdaw (corvus monedula)
chouchen	 alcoholic beverage made by fermenting honey, popular in Brittany
chouchou	 teacher's pet (student perceived to be favored by the teacher)
chouchou	 a hair scrunchie
choucroute	 sauerkraut (a dish made by fermenting finely chopped cabbage)
chouette	 owl (specifically, an owl without a crest)
chouette effraie	 barn owl
chouette effraie	 screech owl
choyer	 to cherish, pamper
christadelphe	 Christadelphian
christadelphe	 Christadelphian
christianisation	 Christianization
christianiser	 to Christianize (to convert to Christianity)
christianisme	 Christianity
christianisé	 Christianized
chromage	 chrome plating
chromamétrique	 chromometric
chromatique	 chromatic
chromatographie	 chromatography
chromatographique	 chromatographic
chromatopsie	 chromatopsia
chrome	 chromium
chromique	 chromic
chromolithographie	 chromolithography
chromosomique	 chromosomal (of, or relating to chromosomes)
chromosphère	 chromosphere
chromotypographie	 chromotypography
chromé	 chrome / chromium (attributive)
chromé	 chromium-plated
chronicité	 chronicity
chronique	 chronic (that which continues over an extended period of time)
chronique	 chronicle
chronique	 newspaper column
chronique	 a patient who has a chronic condition
chroniquer	 to write a column (for a newpaper)
chroniquer	 to chronicle
chroniqueur	 chronicler
chroniqueur	 columnist
chronographe	 chronograph
chronologie	 chronology
chronologique	 chronological
chronologiquement	 chronologically
chronométrage	 timing (action of keeping time or a record of timing)
chronométrer	 to time (measure time)
chronométreur	 timekeeper
chronométrie	 chronometry
chronométrique	 chronometric
chronophage	 time-consuming
chronophotographie	 chronophotography
chronostratigraphique	 chronostratigraphic
chronotachygraphe	 tachograph
chrysalide	 pupa, chrysalis
chrysanthème	 chrysanthemum
chrysolithe	 chrysolite
chrysomèle	 leaf beetle (of family Chrysomelidae)
chrysothérapie	 chrysotherapy
chrétien	 Christian
chrétien	 Christian; follower of the Christian faith.
chrétienté	 Christendom
chthonien	 chthonian
chti	 Of, or pertaining to the Nord-Pas-de-Calais region, or its inhabitants, culture or dialect.
chti	 chtimi, the regional dialect of French spoken in Nord-Pas-de-Calais.
chtimi	 Of, or pertaining to, the Nord-Pas-de-Calais region
chtimi	 chti, a Picard dialect spoken in Nord-Pas-de-Calais region.
chuchotement	 whisper, murmur
chuchotement	 rustling (of leaves)
chuchoter	 to whisper
chuchoteur	 whisperer.
chuchoteuse	 Feminine form of chuchoteur; whisperer.
chuintement	 swish, hiss
chuintement	 lisp
chuintement	 buzz
chute	 fall
chute	 fall, drop (e.g. in price)
chute	 waterfall
chuter	 to fall, to drop 
chuter	 (e.g. of prices) to fall, to drop
chymotrypsine	 chymotrypsin
châle	 shawl
châsse	 reliquary
châsse	 coffin
châssis	 chassis
châtaigne	 (sweet) chestnut
châtaigneraie	 chestnut plantation
châtaignier	 chestnut; chestnut tree
châtain	 having brown hair, brunette
châtain	 chestnut brown
château	 castle (fortified building or similar structure; winegrower's estate).
château d'eau	 water tower
château de sable	 sandcastle
château-fort	 castle (fortified building)
châtelain	 someone who lives in a castle
châtellenie	 lordship (jurisdiction of a châtelain)
châtiment	 punishment
châtié	 refined
châtrer	 to castrate
châtreur	 castrator, gelder
châtré	 castrated
châtré	 eunuch
chènevis	 Seeds of hemp, used for feed birds. (derived from chanvre).
chèque	 check (a note promising to pay money to a named person or entity)
chère	 Feminine form of cher.
chèrement	 dearly
chèvre	 goat
chèvre	 goat cheese (US), goat's cheese (UK)
chéchia	 chechia
chélatant	 chelating
chélateur	 chelating
chélone	 chelone, snakehead
chéneau	 eavesdrop (space around a house on which such water drips)
chéneau	 gutter
chéquier	 chequebook
chéri	 cherished; beloved
chéri	 dear, darling, honey, sweetheart
chérif	 sharif
chérit	 ''third-person singular present present indicative/subjunctive of chérir''
chérit	 ''third-person singular past historic form of chérirFrench|chérir''
chérubin	 cherub
chétif	 puny, scrawny
chétif	 meagre, paltry
chênaie	 oak plantation
chêne	 oak (''tree''), oak tree
chêne	 oak (''wood'')
chêne vert	 holm oak (evergreen tree, ''Quercus ilex'')
chêne-liège	 cork oak
chômage	 unemployment
chômer	 to be idle
chômeur	 An unemployed person.
chœur	 chorus
chœur	 choir
ci	 here
ci	 this
ci-contre	 thereagainst
ci-dessous	 below, underneath (under this point)
ci-dessus	 above, above here
ci-devant	 formerly
ci-devant	 one-time
cibiste	 breaker (user of CB radio)
ciblage	 targeting
cible	 target (literal)
cible	 aim, goal (figurative)
ciboire	 The ciborium cup.
ciboule	 scallion (''Allium fistulosum'')
ciboulette	 chive (the plant)
ciboulette	 chives (the herb)
cicatrice	 scar
cicatrisation	 scarring
cicatriser	 to scar
cicindèle	 tiger beetle (of genus Cicindela)
cicérone	 cicerone
cidre	 cider
cidrerie	 cider-makers
cidrerie	 cider house
cidrier	 cider brewer
ciel	 sky
ciel	 heaven
ciel	 canopy (of a bed etc)
ciel	 heavens!
cigale	 cicada (any of several insects of the order Hemiptera)
cigare	 cigar
cigarettier	 cigarette company
cigarettier	 cigarette seller
cigogne	 stork
cigogne blanche	 white stork (large wading bird, ''Ciconia ciconia'')
ciguë	 hemlock (umbellifer)
cigüe	 hemlock (umbellifer)
cil	 eyelash.
ciliaire	 ciliary
ciller	 To blink
ciller	 To bat an eyelash
cimaise	 cymatium
cimaise	 picture rail
cime	 peak, summit (of mountain)
cime	 top (of tree)
ciment	 cement
cimentation	 cementation
cimentation	 cementing
cimenter	 To cement
cimenter	 To confirm
cimenterie	 cement works
cimentier	 cementer (someone who works with cement)
cimeterre	 scimitar
cimetière	 cemetery, graveyard
cimmérien	 cimmerian
cingalais	 Sinhalese
cingalais	 Sinhalese language
cinglage	 shingling (in iron making)
cinglant	 scathing, stinging
cingler	 to sail; to navigate
cingler	 to hit; to strike; to knock
cinq	 five
cinquante	 fifty
cinquante	 fifty
cinquantenaire	 fifty-year anniversary.
cinquantième	 fiftieth
cinquantième	 fiftieth
cinquième	 fifth
cinquième	 fifth
cinquièmement	 fifthly
cintre	 hanger (for clothes)
cintré	 curved
cintré	 fitted (clothes)
cinéaste	 filmmaker
cinéma	 cinema (the art of making films and movies)
cinéma	 cinema (the film and movie industry)
cinéma	 cinema (film or movies as a group)
cinéma	 cinema (movie theatre)
cinémathèque	 film archive
cinématique	 kinematic
cinématographe	 cinematograph
cinématographie	 cinematography
cinématographique	 cinematographic
cinématographiquement	 cinematographically
cinéphage	 moviegoer; film buff, movie junkie
cinéphile	 cinephile
cinéphilie	 cinephilia
cinétique	 kinetic (relating to motion)
cinétique	 kinetics
cinétiquement	 kinetically
cipaye	 A sepoy, native Indian soldier in a European colonial regiment, notably in British or French service, mostly infantry
cirage	 polish (product used to make things shiny)
cirage	 waxing, polishing, wax, polish (act of waxing or polishing)
circa	 approximately, about
circadien	 circadian
circaète	 snake eagle
circaète jean-le-blanc	 short-toed snake eagle
circoncire	 to circumcise
circoncision	 circumcision (excising foreskin from penis)
circonfixe	 circumfix (affix with both a pre- and sufixing part)
circonflexe	 circumflex
circonférence	 circumference
circonlocution	 circumlocution
circonscription	 electoral district or constituency
circonscrire	 To circumscribe (all meanings)
circonspect	 circumspect, cautious, prudent
circonspection	 circumspection (attention to all the facts and circumstances)
circonstance	 circumstance
circonstancié	 circumstantial
